bus,load_percentage,varied_load,bus_0_voltage_magnitude,bus_0_voltage_angle,bus_1_voltage_magnitude,bus_1_voltage_angle,bus_2_voltage_magnitude,bus_2_voltage_angle,bus_3_voltage_magnitude,bus_3_voltage_angle,bus_4_voltage_magnitude,bus_4_voltage_angle,bus_5_voltage_magnitude,bus_5_voltage_angle,bus_6_voltage_magnitude,bus_6_voltage_angle,bus_7_voltage_magnitude,bus_7_voltage_angle,bus_8_voltage_magnitude,bus_8_voltage_angle,bus_9_voltage_magnitude,bus_9_voltage_angle,bus_10_voltage_magnitude,bus_10_voltage_angle,bus_11_voltage_magnitude,bus_11_voltage_angle,bus_12_voltage_magnitude,bus_12_voltage_angle,bus_13_voltage_magnitude,bus_13_voltage_angle,voltage_increase,angle_increase,attack
7,0.5,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
7,0.75,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
7,1,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
8,0.25,7.375,1.06,0,1.045,-4.451569653,1.01,-11.81701408,1.022037176,-9.157195453,1.023187326,-7.774488065,1.07,-12.40036484,1.06550449,-11.1047016,1.09,-11.1047016,1.061460422,-12.11320707,1.055762885,-12.44796475,1.059558865,-12.55032478,1.055432536,-13.18110174,1.051386326,-13.19357658,1.039176569,-13.57563855,0,0,0
8,0.5,14.75,1.06,0,1.045,-4.627515188,1.01,-12.11779434,1.020629592,-9.540819572,1.022003494,-8.106036956,1.07,-13.00284336,1.064242793,-11.85250688,1.09,-11.85250688,1.059700359,-13.04986945,1.054244407,-13.32624867,1.058719191,-13.29272949,1.055359856,-13.80815328,1.051068448,-13.84347808,1.038022879,-14.39028074,0,0,0
8,0.75,22.125,1.06,0,1.045,-4.80451381,1.01,-12.4204739,1.019174432,-9.926035733,1.020779262,-8.439141299,1.07,-13.60964955,1.062914866,-12.60408103,1.09,-12.60408103,1.057857972,-13.9915431,1.052652099,-14.20927021,1.057835315,-14.03943008,1.05527857,-14.43959177,1.050733663,-14.49765465,1.036807686,-15.2095399,0,0,0
8,1,29.5,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
9,0.25,2.25,1.06,0,1.045,-4.820319545,1.01,-12.44984124,1.018978424,-9.963343545,1.02067932,-8.46314918,1.07,-13.5973719,1.062647272,-12.70504718,1.09,-12.70504718,1.057431513,-14.12577125,1.054026149,-14.07647565,1.05857151,-13.96651469,1.055270194,-14.43778629,1.050642691,-14.50609577,1.036516775,-15.28973742,0,0,0
9,0.5,4.5,1.06,0,1.045,-4.874261775,1.01,-12.54133325,1.018547707,-10.07961518,1.020295343,-8.566476541,1.07,-13.80457669,1.062279173,-12.92272725,1.09,-12.92272725,1.056942883,-14.39602727,1.053025127,-14.41587922,1.058024557,-14.24052605,1.055243914,-14.64972644,1.050557549,-14.72217709,1.036195388,-15.53704931,0,0,0
9,0.75,6.75,1.06,0,1.045,-4.928351218,1.01,-12.63308536,1.018111864,-10.19613347,1.019906869,-8.670043903,1.07,-14.01243206,1.061903281,-13.14091812,1.09,-13.14091812,1.056442982,-14.66694029,1.052011324,-14.75614475,1.057469582,-14.51522488,1.055216706,-14.862323,1.050470561,-14.9389011,1.035866464,-15.78501511,0,0,0
9,1,9,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
10,0.25,0.875,1.06,0,1.045,-4.920649388,1.01,-12.62217722,1.018099333,-10.18188261,1.019961548,-8.650040826,1.07,-13.92357096,1.061771225,-13.13993491,1.09,-13.13993491,1.056175713,-14.6731972,1.051546676,-14.77866171,1.058302402,-14.35161687,1.055211435,-14.78024591,1.050412006,-14.86346861,1.035681947,-15.75614595,0,0,0
10,0.5,1.75,1.06,0,1.045,-4.941267926,1.01,-12.65643672,1.017957217,-10.22550532,1.019813045,-8.691263255,1.07,-14.02256055,1.061688253,-13.21307978,1.09,-13.21307978,1.056095751,-14.76153538,1.051361066,-14.88475476,1.057838944,-14.49778166,1.055203919,-14.87855763,1.050402112,-14.96094018,1.035632162,-15.84852844,0,0,0
10,0.75,2.625,1.06,0,1.045,-4.961914476,1.01,-12.69074423,1.017814392,-10.26917808,1.019663817,-8.732534209,1.07,-14.12168548,1.061604356,-13.28631046,1.09,-13.28631046,1.056014421,-14.84997657,1.051173718,-14.99096345,1.057373652,-14.64411634,1.055196295,-14.97700359,1.050392015,-15.05854252,1.035581496,-15.94102776,0,0,0
10,1,3.5,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
11,0.25,1.525,1.06,0,1.045,-4.876089708,1.01,-12.55154491,1.018271124,-10.09087194,1.02026746,-8.552640251,1.07,-13.61833093,1.061603516,-13.02795924,1.09,-13.02795924,1.055707407,-14.55129417,1.050753313,-14.67234841,1.056739099,-14.27829306,1.059181579,-14.15254685,1.050971838,-14.47328634,1.03564084,-15.51767262,0,0,0
11,0.5,3.05,1.06,0,1.045,-4.911454117,1.01,-12.60917024,1.018073189,-10.16462177,1.020018868,-8.626128207,1.07,-13.81851216,1.061577264,-13.13811185,1.09,-13.13811185,1.055784338,-14.67990271,1.050832409,-14.81348991,1.056796163,-14.4484766,1.057858311,-14.45926287,1.050778564,-14.70023073,1.035607401,-15.68909224,0,0,0
11,0.75,4.575,1.06,0,1.045,-4.946953516,1.01,-12.66702122,1.017873106,-10.23863066,1.019767676,-8.699865287,1.07,-14.01938152,1.061549275,-13.24866656,1.09,-13.24866656,1.055859116,-14.80897685,1.050909519,-14.95513485,1.056851973,-14.61925079,1.056527331,-14.76693829,1.050581865,-14.92789144,1.035570446,-15.86108087,0,0,0
11,1,6.1,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
12,0.25,3.375,1.06,0,1.045,-4.745545893,1.01,-12.33717967,1.019079669,-9.817378331,1.021195062,-8.285216041,1.07,-12.92103516,1.061935043,-12.60013837,1.09,-12.60013837,1.055874698,-14.0443954,1.050851077,-14.13219022,1.056744571,-13.66105165,1.056743107,-13.55878021,1.054979606,-13.45833773,1.037458957,-14.78539136,0,0,0
12,0.5,6.75,1.06,0,1.045,-4.824129697,1.01,-12.46575774,1.01861942,-9.981767914,1.020645653,-8.447347353,1.07,-13.35222931,1.061805574,-12.85205756,1.09,-12.85205756,1.055905902,-14.3409983,1.05090645,-14.45233363,1.056804994,-14.03575695,1.056233235,-14.06211347,1.053461534,-14.02186403,1.036835134,-15.19974936,0,0,0
12,0.75,10.125,1.06,0,1.045,-4.903142158,1.01,-12.59506106,1.018149858,-10.14693816,1.020085305,-8.610222693,1.07,-13.78551923,1.061667108,-13.1052136,1.09,-13.1052136,1.055924955,-14.63903184,1.050951007,-14.77402346,1.056859001,-14.41226848,1.055715083,-14.56769985,1.051928964,-14.5878268,1.036192201,-15.61582219,0,0,0
12,1,13.5,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
13,0.25,3.725,1.06,0,1.045,-4.712695141,1.01,-12.27185911,1.019694642,-9.736686439,1.021450313,-8.245747616,1.07,-13.05597315,1.063055492,-12.33561527,1.09,-12.33561527,1.057828286,-13.68283417,1.052580184,-13.85776787,1.057747589,-13.58870444,1.056083942,-13.78435762,1.053036408,-13.75916989,1.045874288,-13.8219952,0,0,0
13,0.5,7.45,1.06,0,1.045,-4.801930142,1.01,-12.42168186,1.019037769,-9.927425118,1.02082099,-8.420491946,1.07,-13.44090262,1.062571297,-12.6745172,1.09,-12.6745172,1.057240083,-14.09837269,1.052084884,-14.26786488,1.057486017,-13.98614048,1.055799079,-14.21122751,1.052178185,-14.22141756,1.042510164,-14.55356325,0,0,0
13,0.75,11.175,1.06,0,1.045,-4.891889041,1.01,-12.57275202,1.018363311,-10.11948535,1.020175639,-8.596516073,1.07,-13.82919311,1.062059524,-13.01583102,1.09,-13.01583102,1.056608234,-14.51690324,1.051553313,-14.68100642,1.057205804,-14.3867471,1.055500723,-14.64160028,1.051293505,-14.68708269,1.039062848,-15.29069916,0,0,0
13,1,14.9,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
0,0.25,0,1.113,5,1.09725,0.017410858,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.1235,-9.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,5,5,1
0,0.5,0,1.113,5,1.09725,0.017410858,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.1235,-9.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,5,5,1
0,0.75,0,1.113,5,1.09725,0.017410858,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.1235,-9.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,5,5,1
0,1,0,1.113,5,1.09725,0.017410858,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.1235,-9.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,5,5,1
1,0.25,5.425,1.113,5,1.09725,0.491609354,1.01,-12.30149298,1.017680398,-9.937339981,1.019571728,-8.431800079,1.1235,-8.86806987,1.061536373,-12.98975828,1.09,-12.98975828,1.055967196,-14.5715616,1.05101698,-14.73279792,1.056926248,-14.43185421,1.055189045,-14.72170685,1.050389774,-14.80141162,1.035554647,-15.67189085,5,5,1
1,0.5,10.85,1.113,5,1.09725,0.333726167,1.01,-12.44250902,1.017677984,-10.06236055,1.019553559,-8.54566482,1.1235,-8.9855296,1.061531114,-13.1128814,1.09,-13.1128814,1.05595572,-14.69371557,1.051006487,-14.85412892,1.056919823,-14.55127787,1.05518891,-14.83950001,1.05038714,-14.9195341,1.035546639,-15.79230919,5,5,1
1,0.75,16.275,1.113,5,1.09725,0.1756606,1.01,-12.58371076,1.017674804,-10.18754705,1.019534271,-8.659682263,1.1235,-9.10315461,1.061525501,-13.23617057,1.09,-13.23617057,1.055943895,-14.81603493,1.050995702,-14.97562524,1.056913246,-14.67086662,1.05518875,-14.95745871,1.050384454,-15.03782182,1.035538406,-15.91289322,5,5,1
1,1,21.7,1.113,5,1.09725,0.017410858,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.1235,-9.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,5,5,1
2,0.25,23.55,1.113,5,1.09725,1.944451687,1.01,-6.258231992,1.018056747,-7.363122871,1.020459154,-6.381447987,1.1235,-6.64758203,1.061900769,-10.50425798,1.09,-10.50425798,1.056618284,-12.13160075,1.051601709,-12.33131649,1.057273763,-12.1195823,1.055203221,-12.48554024,1.050529083,-12.5499342,1.036000633,-13.31293451,5,5,1
2,0.5,47.1,1.113,5,1.09725,1.315261175,1.01,-8.385084118,1.018082477,-8.328807192,1.020275939,-7.163940365,1.1235,-7.4882171,1.061845248,-11.43851817,1.09,-11.43851817,1.056460292,-13.0498744,1.051455276,-13.23599245,1.057182234,-12.99273625,1.055203671,-13.3316681,1.050490863,-13.40154406,1.03588968,-14.20248329,5,5,1
2,0.75,70.65,1.113,5,1.09725,0.673130935,1.01,-10.53994256,1.017955702,-9.31173199,1.019962638,-7.961143602,1.1235,-8.34569999,1.061719034,-12.38998353,1.09,-12.38998353,1.056232306,-13.98519564,1.051250307,-14.15766746,1.057060196,-13.88277366,1.055198848,-14.19470969,1.050441873,-14.27001834,1.035733345,-15.10907308,5,5,1
2,1,94.2,1.113,5,1.09725,0.017410858,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.1235,-9.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,5,5,1
3,0.25,11.95,1.113,5,1.09725,0.892342797,1.01,-11.19570265,1.02345768,-8.30903008,1.023717289,-7.208857247,1.1235,-7.47157206,1.06431038,-11.4176682,1.09,-11.4176682,1.058877343,-13.03327846,1.053465504,-13.21974893,1.058217214,-12.97753416,1.055382116,-13.31320284,1.050853114,-13.38517727,1.037439877,-14.18335418,5,5,1
3,0.5,23.9,1.113,5,1.09725,0.6028329,1.01,-11.70184378,1.021572418,-8.972878392,1.022361587,-7.727459357,1.1235,-8.05084606,1.063400491,-12.06097826,1.09,-12.06097826,1.05791579,-13.66442131,1.052655593,-13.84168917,1.057789248,-13.57804551,1.055319163,-13.89679694,1.050699145,-13.97169485,1.036816496,-14.79621094,5,5,1
3,0.75,35.85,1.113,5,1.09725,0.311208097,1.01,-12.21160664,1.01964377,-9.640785616,1.020960735,-8.24908902,1.1235,-8.63392619,1.062470347,-12.7082501,1.09,-12.7082501,1.056934055,-14.29945535,1.05182875,-14.46748935,1.05735241,-14.18236289,1.055254655,-14.48421263,1.050542033,-14.56201637,1.036179943,-15.41292839,5,5,1
3,1,47.8,1.113,5,1.09725,0.017410858,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.1235,-9.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,5,5,1
